timestamp,frame,ear,mar,perclos,blink_rate,score,microsleep_duration,pose_pitch,pose_yaw,pose_roll,pose_score,eyes_reliable,alert_level
2026-05-01 02:25:44,0,0.2621,0.0204,0.0,0.0,0.0,0.0,15.76,-5.36,-0.51,0.0,1,OK
2026-05-01 02:25:44,1,0.2764,0.04,0.0,0.0,0.0,0.0,15.96,-3.36,1.06,0.0,1,OK
2026-05-01 02:25:44,2,0.2795,0.0417,0.0,0.0,0.0,0.0,14.21,-5.61,0.64,0.0,1,OK
2026-05-01 02:25:44,3,0.2766,0.0408,0.0,0.0,0.0,0.0,3.06,-2.68,1.31,0.0,1,OK
2026-05-01 02:25:44,4,0.2857,0.0208,0.0,0.0,0.0,0.0,17.93,-6.16,0.44,0.0,1,OK
2026-05-01 02:25:44,5,0.2674,0.0417,0.0,0.0,0.0,0.0,16.55,-5.1,-0.4,0.0,1,OK
2026-05-01 02:25:44,6,0.2818,0.0213,0.0,0.0,0.0,0.0,14.62,-4.3,-0.95,0.0,1,OK
2026-05-01 02:25:44,7,0.2908,0.0425,0.0,0.0,0.0,0.0,14.45,-5.36,-0.98,0.0,1,OK
2026-05-01 02:25:44,8,0.2813,0.0,0.0,0.0,0.0,0.0,16.9,-5.29,-0.23,0.0,1,OK
2026-05-01 02:25:44,9,0.2606,0.0426,0.0,0.0,0.0,0.0,14.32,-4.65,-0.12,0.0,1,OK
2026-05-01 02:25:44,10,0.267,0.0417,0.0,0.0,0.0,0.0,16.8,-3.27,-0.46,0.0,1,OK
2026-05-01 02:25:44,11,0.2867,0.0408,0.0,0.0,0.0,0.0,15.45,-8.23,-0.3,0.0,1,OK
2026-05-01 02:25:44,12,0.2762,0.04,0.0,0.0,0.0,0.0,15.99,-5.78,-1.02,0.0,1,OK
2026-05-01 02:25:44,13,0.2877,0.04,0.0,0.0,0.0,0.0,13.75,-5.98,-1.33,0.0,1,OK
2026-05-01 02:25:44,14,0.28,0.0289,0.0,0.0,0.0,0.0,17.08,-6.98,-0.56,0.0,1,OK
2026-05-01 02:25:45,15,0.2683,0.0204,0.0,0.0,0.0,0.0,17.53,-5.41,-0.62,0.0,1,OK
2026-05-01 02:25:45,16,0.2772,0.0417,0.0,0.0,0.0,0.0,13.57,-2.56,0.34,0.0,1,OK
2026-05-01 02:25:45,17,0.2895,0.0213,0.0,0.0,0.0,0.0,14.65,-9.72,-0.35,0.0,1,OK
2026-05-01 02:25:45,18,0.2954,0.0208,0.0,0.0,0.0,0.0,19.22,-6.63,0.14,0.0,1,OK
2026-05-01 02:25:45,19,0.2655,0.0217,0.0,0.0,0.0,0.0,13.94,-3.46,0.09,0.0,1,OK
2026-05-01 02:25:45,20,0.2549,0.0295,0.0,0.0,0.0,0.0,14.47,-4.25,0.09,0.0,1,OK
2026-05-01 02:25:45,21,0.2743,0.0289,0.0,0.0,0.0,0.0,12.7,-8.04,-0.4,0.0,1,OK
2026-05-01 02:25:45,22,0.2642,0.0289,0.0,0.0,0.0,0.0,13.32,-4.88,0.27,0.0,1,OK
2026-05-01 02:25:45,23,0.2712,0.02,0.0,0.0,0.0,0.0,15.07,-4.75,0.12,0.0,1,OK
2026-05-01 02:25:45,24,0.2875,0.0408,0.0,0.0,0.0,0.0,18.73,-5.99,-0.26,0.0,1,OK
2026-05-01 02:25:45,25,0.2923,0.0426,0.0,0.0,0.0,0.0,9.88,-9.62,-0.98,0.0,1,OK
2026-05-01 02:25:45,26,0.2691,0.0196,0.0,0.0,0.0,0.0,15.69,-9.07,-1.13,0.0,1,OK
2026-05-01 02:25:45,27,0.2608,0.0,0.0,0.0,0.0,0.0,16.01,-4.59,-0.64,0.0,1,OK
2026-05-01 02:25:45,28,0.2832,0.0417,0.0,0.0,0.0,0.0,12.84,-5.59,0.03,0.0,1,OK
2026-05-01 02:25:45,29,0.2866,0.0196,0.0,0.0,0.0,0.0,16.98,-6.19,-1.69,0.0,1,OK
2026-05-01 02:25:45,30,0.283,0.0408,0.0,0.0,0.0,0.0,11.2,-4.16,0.7,0.0,1,OK
2026-05-01 02:25:45,31,0.2784,0.0447,0.0,0.0,0.0,0.0,16.85,-3.9,-0.34,0.0,1,OK
2026-05-01 02:25:45,32,0.2832,0.0307,0.0,0.0,0.0,0.0,12.71,-4.82,0.05,0.0,1,OK
2026-05-01 02:25:45,33,0.2833,0.0408,0.0,0.0,0.0,0.0,17.08,-5.23,-0.79,0.0,1,OK
