timestamp,frame,ear,mar,perclos,blink_rate,alert_level
2026-03-14 03:16:59,0,0.2705,0.0,0.0,0.0,NORMAL
2026-03-14 03:16:59,1,0.2558,0.0139,0.0,0.0,NORMAL
2026-03-14 03:16:59,2,0.2638,0.0,0.0,0.0,NORMAL
2026-03-14 03:16:59,3,0.2512,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,4,0.2493,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,5,0.2578,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,6,0.2541,0.0135,0.0,0.0,NORMAL
2026-03-14 03:17:00,7,0.2495,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,8,0.2589,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,9,0.2385,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,10,0.2396,0.0141,0.0,0.0,NORMAL
2026-03-14 03:17:00,11,0.2559,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,12,0.2679,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,13,0.2646,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,14,0.2517,0.0133,0.0,0.0,NORMAL
2026-03-14 03:17:00,15,0.2713,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,16,0.2845,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,17,0.2285,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,18,0.2867,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,19,0.2724,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,20,0.2667,0.0133,0.0,0.0,NORMAL
2026-03-14 03:17:00,21,0.2737,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,22,0.2533,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,23,0.254,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,24,0.2672,0.0,0.0,0.0,NORMAL
2026-03-14 03:17:00,25,0.2753,0.1285,0.0,0.0,NORMAL
2026-03-14 03:17:00,26,0.2745,0.2349,0.0,0.0,NORMAL
2026-03-14 03:17:00,27,0.2919,0.3433,0.0,0.0,NORMAL
2026-03-14 03:17:00,28,0.2694,0.3092,0.0,0.0,NORMAL
2026-03-14 03:17:00,29,0.2783,0.2837,0.0,0.0,NORMAL
2026-03-14 03:17:00,30,0.2702,0.4857,0.0,0.0,NORMAL
2026-03-14 03:17:00,31,0.2846,0.4778,0.0,0.0,NORMAL
2026-03-14 03:17:01,32,0.2654,0.8821,0.0,0.0,NORMAL
2026-03-14 03:17:01,33,0.2364,0.5817,0.0,0.0,NORMAL
2026-03-14 03:17:01,34,0.2091,0.7755,0.0286,51.43,NORMAL
2026-03-14 03:17:01,35,0.2072,0.6765,0.0556,50.0,NORMAL
2026-03-14 03:17:01,36,0.1898,0.6945,0.0811,48.65,NORMAL
2026-03-14 03:17:01,37,0.2037,0.5219,0.1053,47.37,NORMAL
2026-03-14 03:17:01,38,0.2382,0.6917,0.1026,46.15,NORMAL
2026-03-14 03:17:01,39,0.2313,0.7806,0.1,45.0,NORMAL
2026-03-14 03:17:01,40,0.2404,0.6903,0.0976,43.9,NORMAL
2026-03-14 03:17:01,41,0.2344,0.6621,0.0952,42.86,NORMAL
2026-03-14 03:17:01,42,0.2437,0.695,0.093,41.86,NORMAL
2026-03-14 03:17:01,43,0.2202,0.8486,0.0909,40.91,NORMAL
2026-03-14 03:17:01,44,0.2466,0.7755,0.0889,40.0,NORMAL
2026-03-14 03:17:01,45,0.2265,0.7645,0.087,39.13,NORMAL
2026-03-14 03:17:01,46,0.2327,0.8311,0.0851,38.3,NORMAL
2026-03-14 03:17:01,47,0.2634,0.8598,0.0833,37.5,NORMAL
2026-03-14 03:17:01,48,0.2183,0.8379,0.0816,36.73,NORMAL
2026-03-14 03:17:01,49,0.2414,0.8465,0.08,36.0,NORMAL
2026-03-14 03:17:01,50,0.233,0.8086,0.0784,35.29,NORMAL
2026-03-14 03:17:01,51,0.2349,0.6376,0.0769,34.62,NORMAL
2026-03-14 03:17:01,52,0.2517,0.7645,0.0755,33.96,NORMAL
2026-03-14 03:17:01,53,0.2325,0.7974,0.0741,33.33,MEDIUM
2026-03-14 03:17:01,54,0.244,0.6951,0.0727,32.73,MEDIUM
2026-03-14 03:17:01,55,0.2343,0.7827,0.0714,32.14,MEDIUM
2026-03-14 03:17:01,56,0.2267,0.6713,0.0702,31.58,MEDIUM
2026-03-14 03:17:01,57,0.2443,0.8147,0.069,31.03,MEDIUM
2026-03-14 03:17:01,58,0.2324,0.8326,0.0678,30.51,MEDIUM
2026-03-14 03:17:01,59,0.2358,0.7716,0.0667,30.0,MEDIUM
2026-03-14 03:17:02,60,0.2305,0.4613,0.0656,29.51,NORMAL
2026-03-14 03:17:02,61,0.2175,0.7098,0.0645,29.03,NORMAL
2026-03-14 03:17:02,62,0.2715,0.956,0.0635,28.57,NORMAL
2026-03-14 03:17:02,63,0.2389,0.7902,0.0625,28.12,NORMAL
2026-03-14 03:17:02,64,0.2431,0.7142,0.0615,27.69,NORMAL
2026-03-14 03:17:02,65,0.2377,0.7732,0.0606,27.27,NORMAL
2026-03-14 03:17:02,66,0.2412,0.8049,0.0597,26.87,NORMAL
2026-03-14 03:17:02,67,0.2321,0.6763,0.0588,26.47,NORMAL
2026-03-14 03:17:02,68,0.2333,0.8575,0.058,26.09,NORMAL
2026-03-14 03:17:02,69,0.2236,0.7396,0.0571,25.71,NORMAL
2026-03-14 03:17:02,70,0.2322,0.7365,0.0563,25.35,NORMAL
2026-03-14 03:17:02,71,0.2306,0.8761,0.0556,25.0,NORMAL
2026-03-14 03:17:02,72,0.2391,0.7913,0.0548,24.66,NORMAL
2026-03-14 03:17:02,73,0.2435,0.7755,0.0541,24.32,NORMAL
2026-03-14 03:17:02,74,0.1997,0.7942,0.0667,48.0,NORMAL
2026-03-14 03:17:02,75,0.2289,0.905,0.0658,47.37,NORMAL
2026-03-14 03:17:02,76,0.227,0.8893,0.0649,46.75,MEDIUM
2026-03-14 03:17:02,77,0.2372,0.797,0.0641,46.15,MEDIUM
2026-03-14 03:17:02,78,0.2308,0.727,0.0633,45.57,MEDIUM
2026-03-14 03:17:02,79,0.2431,0.7501,0.0625,45.0,MEDIUM
2026-03-14 03:17:02,80,0.2147,0.668,0.0617,44.44,MEDIUM
2026-03-14 03:17:02,81,0.2289,0.68,0.061,43.9,MEDIUM
2026-03-14 03:17:02,82,0.2389,0.5885,0.0602,43.37,NORMAL
2026-03-14 03:17:02,83,0.2494,0.5211,0.0595,42.86,NORMAL
2026-03-14 03:17:02,84,0.2326,0.4533,0.0588,42.35,NORMAL
2026-03-14 03:17:02,85,0.233,0.355,0.0581,41.86,NORMAL
2026-03-14 03:17:03,86,0.2526,0.2082,0.0575,41.38,NORMAL
2026-03-14 03:17:03,87,0.2574,0.1297,0.0568,40.91,NORMAL
2026-03-14 03:17:03,88,0.2456,0.064,0.0562,40.45,NORMAL
2026-03-14 03:17:03,89,0.2625,0.0674,0.0556,40.0,NORMAL
2026-03-14 03:17:03,90,0.2304,0.0,0.0556,39.56,NORMAL
2026-03-14 03:17:03,91,0.2534,0.0769,0.0556,39.13,NORMAL
2026-03-14 03:17:03,92,0.2412,0.0,0.0556,38.71,NORMAL
2026-03-14 03:17:03,93,0.2586,0.0526,0.0556,38.3,NORMAL
2026-03-14 03:17:03,94,0.2581,0.0177,0.0556,37.89,NORMAL
2026-03-14 03:17:03,95,0.2647,0.0399,0.0556,37.5,NORMAL
2026-03-14 03:17:03,96,0.2495,0.0,0.0556,37.11,NORMAL
2026-03-14 03:17:03,97,0.2254,0.0,0.0556,36.73,NORMAL
2026-03-14 03:17:03,98,0.2292,0.0,0.0556,36.36,NORMAL
2026-03-14 03:17:03,99,0.2558,0.0128,0.0556,36.0,NORMAL
2026-03-14 03:17:03,100,0.2253,0.0133,0.0556,35.64,NORMAL
2026-03-14 03:17:03,101,0.2213,0.0,0.0556,35.29,NORMAL
2026-03-14 03:17:03,102,0.2361,0.0,0.0556,34.95,NORMAL
2026-03-14 03:17:03,103,0.2384,0.0,0.0556,34.62,NORMAL
2026-03-14 03:17:03,104,0.2495,0.0,0.0556,34.29,NORMAL
2026-03-14 03:17:03,105,0.2281,0.0,0.0556,33.96,NORMAL
2026-03-14 03:17:03,106,0.2294,0.0,0.0556,33.64,NORMAL
2026-03-14 03:17:03,107,0.2521,0.0,0.0556,33.33,NORMAL
2026-03-14 03:17:03,108,0.2443,0.0,0.0556,33.03,NORMAL
2026-03-14 03:17:03,109,0.2254,0.0,0.0556,32.73,NORMAL
2026-03-14 03:17:03,110,0.2523,0.0,0.0556,32.43,NORMAL
2026-03-14 03:17:04,111,0.2387,0.0,0.0556,32.14,NORMAL
2026-03-14 03:17:04,112,0.2324,0.0,0.0556,31.86,NORMAL
2026-03-14 03:17:04,113,0.2205,0.0,0.0556,31.58,NORMAL
2026-03-14 03:17:04,114,0.2359,0.0,0.0556,31.3,NORMAL
2026-03-14 03:17:04,115,0.232,0.0,0.0556,31.03,NORMAL
2026-03-14 03:17:04,116,0.1683,0.0128,0.0667,46.15,NORMAL
2026-03-14 03:17:04,117,0.1834,0.0,0.0778,45.76,NORMAL
2026-03-14 03:17:04,118,0.2061,0.0,0.0889,45.38,NORMAL
2026-03-14 03:17:04,119,0.1798,0.0,0.1,45.0,NORMAL
2026-03-14 03:17:04,120,0.1981,0.0,0.1111,44.63,NORMAL
2026-03-14 03:17:04,121,0.1937,0.0,0.1222,44.26,NORMAL
2026-03-14 03:17:04,122,0.1976,0.0,0.1333,43.9,NORMAL
2026-03-14 03:17:04,123,0.2085,0.0,0.1444,43.55,NORMAL
2026-03-14 03:17:04,124,0.2097,0.0,0.1444,43.2,NORMAL
2026-03-14 03:17:04,125,0.1923,0.0,0.1444,42.86,NORMAL
2026-03-14 03:17:04,126,0.199,0.0,0.1444,42.52,LOW
2026-03-14 03:17:04,127,0.2148,0.0,0.1333,42.19,NORMAL
2026-03-14 03:17:04,128,0.2038,0.0,0.1444,55.81,NORMAL
2026-03-14 03:17:04,129,0.2198,0.0,0.1444,55.38,NORMAL
2026-03-14 03:17:04,130,0.2023,0.0131,0.1556,68.7,HIGH
2026-03-14 03:17:04,131,0.199,0.0,0.1667,68.18,HIGH
2026-03-14 03:17:04,132,0.175,0.0,0.1778,67.67,HIGH
2026-03-14 03:17:04,133,0.2069,0.0131,0.1889,67.16,HIGH
2026-03-14 03:17:04,134,0.1967,0.0133,0.2,66.67,HIGH
2026-03-14 03:17:04,135,0.2015,0.0133,0.2111,66.18,HIGH
2026-03-14 03:17:04,136,0.1869,0.0,0.2222,65.69,HIGH
2026-03-14 03:17:04,137,0.1789,0.013,0.2333,65.22,HIGH
2026-03-14 03:17:04,138,0.2011,0.0,0.2444,64.75,HIGH
2026-03-14 03:17:05,139,0.1798,0.0135,0.2556,64.29,HIGH
2026-03-14 03:17:05,140,0.1777,0.0,0.2667,63.83,HIGH
2026-03-14 03:17:05,141,0.2025,0.0,0.2778,63.38,HIGH
2026-03-14 03:17:05,142,0.1825,0.0,0.2889,62.94,HIGH
2026-03-14 03:17:05,143,0.1915,0.0,0.3,62.5,HIGH
2026-03-14 03:17:05,144,0.1982,0.0,0.3111,62.07,CRITICAL
2026-03-14 03:17:05,145,0.2329,0.0,0.3111,61.64,CRITICAL
2026-03-14 03:17:05,146,0.2678,0.0,0.3111,61.22,CRITICAL
2026-03-14 03:17:05,147,0.2586,0.0,0.3111,60.81,CRITICAL
2026-03-14 03:17:05,148,0.2738,0.0,0.3111,60.4,CRITICAL
2026-03-14 03:17:05,149,0.2779,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,150,0.2769,0.0131,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,151,0.2687,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,152,0.2907,0.0137,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,153,0.2783,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,154,0.2809,0.013,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,155,0.3026,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,156,0.2952,0.0137,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,157,0.2887,0.0135,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,158,0.2704,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,159,0.2729,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,160,0.2893,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,161,0.2935,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,162,0.3015,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,163,0.2905,0.0,0.3111,60.0,CRITICAL
2026-03-14 03:17:05,164,0.2777,0.0,0.3,60.0,HIGH
2026-03-14 03:17:05,165,0.2841,0.0133,0.3,60.0,HIGH
2026-03-14 03:17:05,166,0.2735,0.0,0.3,60.0,HIGH
2026-03-14 03:17:05,167,0.2481,0.0,0.3,60.0,HIGH
2026-03-14 03:17:05,168,0.2431,0.0,0.3,60.0,HIGH
2026-03-14 03:17:05,169,0.2414,0.0128,0.3,60.0,HIGH
2026-03-14 03:17:06,170,0.2519,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,171,0.2292,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,172,0.2426,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,173,0.2603,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,174,0.2651,0.0142,0.3,60.0,HIGH
2026-03-14 03:17:06,175,0.2523,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,176,0.2716,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,177,0.2751,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,178,0.2549,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,179,0.2609,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,180,0.2606,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,181,0.2661,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,182,0.2698,0.0,0.3,60.0,HIGH
2026-03-14 03:17:06,183,0.2723,0.0133,0.3,48.0,HIGH
2026-03-14 03:17:06,184,0.2663,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,185,0.2867,0.0137,0.3,48.0,HIGH
2026-03-14 03:17:06,186,0.2677,0.0147,0.3,48.0,HIGH
2026-03-14 03:17:06,187,0.2599,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,188,0.2681,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,189,0.2612,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,190,0.2729,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,191,0.2556,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,192,0.262,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,193,0.2693,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,194,0.2735,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,195,0.2725,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,196,0.2736,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,197,0.2722,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,198,0.25,0.0,0.3,48.0,HIGH
2026-03-14 03:17:06,199,0.2687,0.0,0.3,48.0,HIGH
